titles,descriptions,authors,times,links
6 Easy Steps to Write Test Summary Report (TSR) or Test Closure Report – Free Sample TSR to download,"In this article, we will learn what is Test Summary Report? Who prepares it? when is it prepared? Who are the stakeholders? What are the points to include in TSR",Shilpa,"May 14, 2018",https://www.opencodez.com/software-testing/6-easy-steps-to-write-test-summary-report.htm
An Introduction to Microservices Architecture – Simple and Easy To Understand,"You must have been on a train many times in your life, but have you noticed the architectural pattern of the train. Is it Microservices Architecture? let us see. The trains",Rahul,"May 11, 2018",https://www.opencodez.com/web-development/introduction-microservices-architecture.htm
Understanding Performance Improvement for Map in Java 8,"What is new in Java 8 for Map!! Folks, A significant change has been shipped in Java 8 release for Map. Of course, it is leaving the shore for better",Rahul,"May 9, 2018",https://www.opencodez.com/java/java8-map-performance-improvements.htm
Java Behavioral Design Patterns – Memento Design Pattern,"In this article, we will cover one Memento Design Pattern which is categorized under behavioral design patterns. This pattern provides the capability to provide a restore (like undo) functionality over an",Supriya,"May 5, 2018",https://www.opencodez.com/java/memento-design-pattern.htm
Simple Text Classification using Keras Deep Learning Python Library – Step By Step Guide,"Deep Learning is everywhere. All organizations big or small, trying to leverage the technology and invent some cool solutions. In this article, we will do a text classification using Keras",Pavan,"Apr 30, 2018",https://www.opencodez.com/how-to-guide/text-classification-using-keras.htm
Simple Guide to Improve Code Quality With SonarLint,"In this article, we will learn to Configure sonarLint in IDE, identify and fix quality gaps, and improve our Code Quality With Sonarlint. Oops!! how could I missed it!! this",Rahul,"Apr 26, 2018",https://www.opencodez.com/how-to-guide/improve-code-quality-with-sonarlint.htm
Java Behavioral Design Patterns – Observer Design Pattern,"Observer Design Pattern is listed under Behavioral Design Patterns as it can alter the behavior of the program. In this article, we will understand this pattern with a simple example. This",Supriya,"Apr 16, 2018",https://www.opencodez.com/java/observer-design-pattern.htm
Salesforce Tutorial# 16: Learning Salesforce Apex and Deployment Tools,"Apex is the backbone of Salesforce development. In this article, we will see a few points that will help you in Learning Salesforce Apex. Introduction of Salesforce Apex Classes: Apex",Renuka,"Apr 8, 2018",https://www.opencodez.com/salesforce/salesforce-tutorial-16-learning-apex-deployment-tools.htm
Spring Mobile To Detect Device In Java Web Application – Source Code on GitHub,"Spring Mobile is an extension to Spring MVC framework. It primarily aims to simplify the development of mobile web applications. Spring Mobile To Detect Device: In this article, we will",Pavan,"Apr 5, 2018",https://www.opencodez.com/java/device-detection-using-spring-mobile.htm
Java Behavioral Design Patterns – Mediator Design Pattern,"In this article, we will understand Mediator Design Pattern. This pattern is categorized under behavioral pattern as it can alter the program’s running behavior. In some cases, the program is made up by",Supriya,"Mar 24, 2018",https://www.opencodez.com/java/mediator-design-pattern.htm
