,names,years,ratings,metascores,votes
0,Logan,(2017),8.1,77,651478
1,Thor: Ragnarok,(2017),7.9,74,592276
2,Guardians of the Galaxy Vol. 2,(2017),7.6,67,573431
3,Wonder Woman,(2017),7.4,76,572008
4,Star Wars: Episode VIII - The Last Jedi,(2017),7.0,84,567687
5,Dunkirk,(2017),7.8,94,559012
6,Spider-Man: Homecoming,(2017),7.4,73,516758
7,Get Out,(I) (2017),7.7,85,496225
8,Blade Runner 2049,(2017),8.0,81,465060
9,It,(I) (2017),7.3,69,461666
10,Baby Driver,(2017),7.6,86,442345
11,"Three Billboards Outside Ebbing, Missouri",(2017),8.1,88,436455
12,Coco,(I) (2017),8.4,81,389134
13,Justice League,(2017),6.3,45,387290
14,The Shape of Water,(2017),7.3,87,373461
15,John Wick: Chapter 2,(2017),7.5,75,368739
16,Jumanji: Welcome to the Jungle,(2017),6.9,58,321928
17,Beauty and the Beast,(I) (2017),7.1,65,275902
18,Kingsman: The Golden Circle,(2017),6.7,44,274639
19,Kong: Skull Island,(2017),6.6,62,273389
20,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.5,39,265778
21,Alien: Covenant,(2017),6.4,65,255193
22,Lady Bird,(2017),7.4,94,243633
23,The Greatest Showman,(2017),7.6,48,241127
24,War for the Planet of the Apes,(2017),7.4,82,228807
25,Call Me by Your Name,(2017),7.9,93,215410
26,Murder on the Orient Express,(2017),6.5,52,214613
27,Life,(I) (2017),6.6,54,208015
28,Wind River,(2017),7.7,73,207843
29,The Fate of the Furious,(2017),6.7,56,205775
30,Ghost in the Shell,(2017),6.3,52,197018
31,King Arthur: Legend of the Sword,(2017),6.7,41,192987
32,Mother!,(2017),6.6,75,192491
33,The Hitman's Bodyguard,(2017),6.9,47,187910
34,"I, Tonya",(2017),7.5,77,183679
35,Atomic Blonde,(2017),6.7,63,176785
36,The Mummy,(2017),5.4,34,173494
37,Darkest Hour,(2017),7.4,75,173379
38,Bright,(I) (2017),6.3,29,169615
39,Valerian and the City of a Thousand Planets,(2017),6.5,51,163217
40,Baywatch,(2017),5.5,37,162743
41,American Made,(2017),7.2,65,159404
